city,taluka,area
Bhandara,Bhandara West,Shreebagh Industrial
Gondia,Gondia Urban,Pashan Layout 17
Gadchiroli,Gadchiroli West,Ambegaon Nagar
Chandrapur,Chandrapur Taluka-1,Pimple Saudagar Layout
Bid,Bid Urban,Hillgalli Phase-2
Miraj,Miraj Central,Camp
Ichalkaranji,Ichalkaranji East,Vile Parle Colony
Pandharpur,Pandharpur Rural,Oldmarket Phase-2
Pune,Pune Taluka-3,Wagholi Layout
Mumbai,Mumbai Taluka-3,Pashan Road
Nagpur,Nagpur Taluka-1,Katraj
Nashik,Nashik South,Pashan
Aurangabad,Aurangabad Taluka-3,Narhe Layout
Kolhapur,Kolhapur South,Shreewadi Residential
Solapur,Solapur West,Andheri Road 18
Sangli,Sangli West,Byculla Colony
Satara,Satara East,Oldvihar Extension
Jalgaon,Jalgaon Urban,Ghatkopar Bazar
Amravati,Amravati West,Bandra Nagar
Pimpri-Chinchwad,Pimpri-Chinchwad East,Lakechowk North
Thane,Thane Central,Dhayari Road
Navi Mumbai,Navi Mumbai Urban,Vasantcolony West
Akola,Akola Central,Santcolony Central
Wardha,Wardha Rural,Bandra
Beed,Beed Urban,Santpur North
Latur,Latur Taluka-2,Colaba Layout
Nanded,Nanded Central,Shivbasti Industrial
Parbhani,Parbhani North,Greenvihar North
Raigad,Raigad Taluka-3,Camp Colony
Ratnagiri,Ratnagiri Taluka-2,Ramvihar Central
Sindhudurg,Sindhudurg West,Juhu Bazar
Palghar,Palghar South,Santpur East
Buldhana,Buldhana West,Kalyani Nagar
Nandurbar,Nandurbar Taluka-1,Wagholi
Dhule,Dhule Taluka-1,Riverwadi Central
Jalna,Jalna Rural,Colaba Society
Osmanabad,Osmanabad North,Wagholi Road
Hingoli,Hingoli Taluka-2,Prakashchowk North
Washim,Washim East,Khar Society
Yavatmal,Yavatmal West,Undri Nagar
Bhandara,Bhandara Central,Pashan
Gondia,Gondia Taluka-3,Hillpur South
Gadchiroli,Gadchiroli Taluka-2,Saimandi Phase-2
Chandrapur,Chandrapur Taluka-3,Undri Nagar
Bid,Bid Taluka-2,Santwadi Residential
Miraj,Miraj Taluka-2,Udaygalli Phase-1
Ichalkaranji,Ichalkaranji Taluka-1,Kothrud Nagar
Pandharpur,Pandharpur South,Netajigalli Residential
Pune,Pune Central,Akurdi Society
Mumbai,Mumbai Rural,Hinjawadi Market
Nagpur,Nagpur West,Koregaon Park Market
Nashik,Nashik Urban,Fursungi Market
Aurangabad,Aurangabad Taluka-3,Narhe Bazar
Kolhapur,Kolhapur North,Rajcolony East
Solapur,Solapur South,FC Road
Sangli,Sangli Urban,Yerawada Nagar
Satara,Satara Central,Hadapsar Layout 9
Jalgaon,Jalgaon North,Gardenpeth Residential
Amravati,Amravati Central,Lakepeth South
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Wanowrie Nagar
Thane,Thane East,Rammarket Industrial 4
Navi Mumbai,Navi Mumbai North,Ganeshbasti Industrial
Akola,Akola Taluka-2,Anandwadi Industrial
Wardha,Wardha North,Hinjawadi Colony
Beed,Beed North,Santgaon West
Latur,Latur Taluka-1,Kondhwa
Nanded,Nanded Taluka-2,Ambegaon
Parbhani,Parbhani North,Vijaybagh Phase-1
Raigad,Raigad North,Yerawada Bazar
Ratnagiri,Ratnagiri Central,Aundh Colony
Sindhudurg,Sindhudurg Taluka-1,Koregaon Park Road 7
Palghar,Palghar Taluka-1,Greenlayout Central
Buldhana,Buldhana South,Ganeshcolony Phase-1
Nandurbar,Nandurbar Taluka-1,Khar Layout
Dhule,Dhule Urban,Kalyani Nagar Nagar
Jalna,Jalna Taluka-1,Shivbasti South
Osmanabad,Osmanabad Central,Santcolony Phase-1
Hingoli,Hingoli Taluka-1,Bhosari Colony 5
Washim,Washim Taluka-2,Shantigaon Industrial
Yavatmal,Yavatmal South,Kurla Market
Bhandara,Bhandara Central,Newchowk Central
Gondia,Gondia Central,Vasantgaon Central
Gadchiroli,Gadchiroli Central,Akurdi Bazar
Chandrapur,Chandrapur Central,Rajamandi South
Bid,Bid Taluka-2,Pashan Nagar
Miraj,Miraj Taluka-3,Kalyani Nagar Market
Ichalkaranji,Ichalkaranji Central,Lakevihar East
Pandharpur,Pandharpur Taluka-3,Ganeshmarket West
Pune,Pune Central,Udaywadi Central
Mumbai,Mumbai Urban,Vijaycolony Central
Nagpur,Nagpur West,Andheri Road
Nashik,Nashik East,Oldlayout Industrial
Aurangabad,Aurangabad Taluka-3,Krishnawadi Industrial
Kolhapur,Kolhapur Taluka-2,Camp Society
Solapur,Solapur Taluka-1,Magarpatta Society
Sangli,Sangli East,Pashan Bazar
Satara,Satara Taluka-1,Gardenbagh Phase-2
Jalgaon,Jalgaon West,Anandwadi Phase-1
Amravati,Amravati Taluka-2,Vile Parle Bazar
Pimpri-Chinchwad,Pimpri-Chinchwad West,Udaypeth South
Thane,Thane Taluka-3,Nigdi Market
Navi Mumbai,Navi Mumbai Taluka-2,Koregaon Park Market
Akola,Akola East,Krishnagalli East
Wardha,Wardha Rural,Ramgaon North
Beed,Beed Central,Shivwadi West
Latur,Latur Urban,Undri Nagar
Nanded,Nanded Central,Udaynagar North
Parbhani,Parbhani Taluka-3,Shantivihar Residential
Raigad,Raigad Urban,Greenchowk Industrial
Ratnagiri,Ratnagiri Central,Bhosari
Sindhudurg,Sindhudurg Taluka-1,Pimpri
Palghar,Palghar Urban,Juhu Road
Buldhana,Buldhana North,Shantigaon West
Nandurbar,Nandurbar Rural,Manjari Road
Dhule,Dhule East,Shantibasti Extension
Jalna,Jalna South,Undri Layout
Osmanabad,Osmanabad North,Rajbagh East
Hingoli,Hingoli Rural,Shivnagar Industrial
Washim,Washim Taluka-3,Shreebagh South
Yavatmal,Yavatmal South,Chembur
Bhandara,Bhandara North,Lower Parel Society
Gondia,Gondia Taluka-3,Byculla Bazar
Gadchiroli,Gadchiroli East,Katraj Colony 9
Chandrapur,Chandrapur East,Rajamandi Central
Bid,Bid Central,Shivaji Nagar Society
Miraj,Miraj West,Lower Parel Colony
Ichalkaranji,Ichalkaranji Central,Baner Market 7
Pandharpur,Pandharpur South,Lakewadi Extension
Pune,Pune Taluka-3,Ganeshbagh Central
Mumbai,Mumbai Taluka-3,Krishnanagar Residential
Nagpur,Nagpur Taluka-2,Hinjawadi Colony
Nashik,Nashik Urban,Pimple Saudagar Road
Aurangabad,Aurangabad Central,Bhosari Road
Kolhapur,Kolhapur West,Viman Nagar Bazar
Solapur,Solapur Urban,Kharadi 13
Sangli,Sangli Central,Prakashgaon South
Satara,Satara Rural,Koregaon Park Colony
Jalgaon,Jalgaon Central,Greenmandi North
Amravati,Amravati Central,Ganeshpeth West
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Chinchwad Layout
Thane,Thane Central,Borivali Society
Navi Mumbai,Navi Mumbai Central,Sus Nagar
Akola,Akola Central,Magarpatta Bazar
Wardha,Wardha North,Bavdhan
Beed,Beed Urban,Katraj 10
Latur,Latur Urban,Gardenwadi South
Nanded,Nanded West,Rajlayout Phase-2
Parbhani,Parbhani Taluka-2,Hillwadi East
Raigad,Raigad Urban,Gandhivihar West
Ratnagiri,Ratnagiri Taluka-2,Kasba Peth Layout
Sindhudurg,Sindhudurg Taluka-1,Andheri
Palghar,Palghar South,Colaba Bazar
Buldhana,Buldhana South,Pimpri Bazar
Nandurbar,Nandurbar West,Hillbagh Phase-1
Dhule,Dhule Taluka-1,Udaygaon Industrial
Jalna,Jalna South,Kondhwa Road
Osmanabad,Osmanabad West,FC Road Nagar
Hingoli,Hingoli Taluka-2,Fursungi Bazar
Washim,Washim Taluka-3,Shreelayout Phase-2
Yavatmal,Yavatmal Taluka-3,Lower Parel Market
Bhandara,Bhandara Central,Vasantgalli Extension
Gondia,Gondia Urban,Koregaon Park Layout
Gadchiroli,Gadchiroli West,Shreenagar North
Chandrapur,Chandrapur Central,Gayatrichowk Extension
Bid,Bid Taluka-2,Chembur Bazar
Miraj,Miraj Taluka-3,Shreechowk West
Ichalkaranji,Ichalkaranji South,Kasba Peth Colony
Pandharpur,Pandharpur Urban,Ramvihar Extension
Pune,Pune South,Hillbasti Phase-1
Mumbai,Mumbai Taluka-3,Udaychowk South
Nagpur,Nagpur West,Netajibagh Industrial
Nashik,Nashik Central,Dadar Road
Aurangabad,Aurangabad South,Riverbagh Phase-1 8
Kolhapur,Kolhapur West,Udaywadi Extension
Solapur,Solapur West,FC Road Society
Sangli,Sangli North,Lakepura East 9
Satara,Satara West,Wakad
Jalgaon,Jalgaon West,Pashan Bazar
Amravati,Amravati Taluka-3,Gandhigaon Industrial 5
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Rambagh Phase-1
Thane,Thane South,Vijaymandi South
Navi Mumbai,Navi Mumbai North,Byculla Bazar
Akola,Akola East,Dhayari Layout
Wardha,Wardha West,Vasantwadi South
Beed,Beed Urban,Santgalli Phase-1
Latur,Latur Taluka-2,Worli Bazar
Nanded,Nanded Taluka-3,Akurdi Market
Parbhani,Parbhani Taluka-1,Borivali Bazar 10
Raigad,Raigad West,Byculla Colony
Ratnagiri,Ratnagiri Taluka-1,Greenwadi Phase-2
Sindhudurg,Sindhudurg West,Nigdi Nagar
Palghar,Palghar North,Gandhicolony North 6
Buldhana,Buldhana South,Wanowrie Colony
Nandurbar,Nandurbar Rural,Gandhipur Phase-1
Dhule,Dhule Taluka-1,Pimpri Colony
Jalna,Jalna South,Shantiwadi Residential
Osmanabad,Osmanabad Taluka-3,Narhe Bazar
Hingoli,Hingoli Taluka-1,Ghatkopar Colony
Washim,Washim Taluka-2,Andheri
Yavatmal,Yavatmal West,Camp Bazar
Bhandara,Bhandara West,Vijaygaon East 2
Gondia,Gondia North,Kasba Peth Road
Gadchiroli,Gadchiroli Taluka-2,Vasantmandi East
Chandrapur,Chandrapur Taluka-3,Oldbagh Extension
Bid,Bid Taluka-2,Juhu Society
Miraj,Miraj Taluka-1,Fursungi Road
Ichalkaranji,Ichalkaranji East,Colaba Colony
Pandharpur,Pandharpur Urban,Magarpatta Bazar
Pune,Pune East,Hinjawadi Nagar 15
Mumbai,Mumbai Urban,Manjari Road
Nagpur,Nagpur South,Viman Nagar Nagar
Nashik,Nashik Urban,Vijaylayout East
Aurangabad,Aurangabad Urban,Ramvihar Phase-2
Kolhapur,Kolhapur Taluka-1,Oldpura South
Solapur,Solapur South,Koregaon Park Bazar
Sangli,Sangli North,Juhu Layout 16
Satara,Satara Central,Lohegaon Layout
Jalgaon,Jalgaon Taluka-1,Sagarcolony South
Amravati,Amravati West,Sus Nagar
Pimpri-Chinchwad,Pimpri-Chinchwad North,Colaba 4
Thane,Thane Taluka-1,Pimpri Layout
Navi Mumbai,Navi Mumbai South,Sagarbagh South
Akola,Akola Central,Yerawada
Wardha,Wardha Taluka-3,Kurla Colony
Beed,Beed West,Koregaon Park
Latur,Latur Taluka-2,Anandpur Extension
Nanded,Nanded West,Wagholi Colony
Parbhani,Parbhani Taluka-1,Hillmandi Central 6
Raigad,Raigad North,Chembur Bazar
Ratnagiri,Ratnagiri Central,Oldpura Central
Sindhudurg,Sindhudurg West,Anandnagar Phase-1
Palghar,Palghar Taluka-1,Wakad Market
Buldhana,Buldhana East,Prakashcolony West
Nandurbar,Nandurbar East,Gardenpeth North
Dhule,Dhule West,Fursungi
Jalna,Jalna Central,Chinchwad Layout
Osmanabad,Osmanabad East,Ganeshchowk West
Hingoli,Hingoli Rural,Kurla Society
Washim,Washim Taluka-2,Santnagar Phase-1
Yavatmal,Yavatmal Urban,Bavdhan Market
Bhandara,Bhandara Central,Vasantgaon Phase-2
Gondia,Gondia Urban,Anandpura East
Gadchiroli,Gadchiroli Urban,Udaynagar Residential
Chandrapur,Chandrapur Central,Worli Nagar
Bid,Bid Urban,Ganeshbagh East
Miraj,Miraj Central,Gayatricolony Phase-2
Ichalkaranji,Ichalkaranji North,Gandhibasti Phase-1
Pandharpur,Pandharpur Urban,Ambegaon Nagar
Pune,Pune Rural,Oldnagar Residential
Mumbai,Mumbai Urban,Chinchwad Market
Nagpur,Nagpur South,Dhayari Layout
Nashik,Nashik West,Kurla Nagar
Aurangabad,Aurangabad Urban,Yerawada Nagar
Kolhapur,Kolhapur South,Nigdi Market
Solapur,Solapur South,Gardenbagh South
Sangli,Sangli Urban,Newmarket Phase-1
Satara,Satara Taluka-1,Aundh Nagar
Jalgaon,Jalgaon North,Newpur Central
Amravati,Amravati West,Ghatkopar Colony
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Shivpura North
Thane,Thane South,Kondhwa Road
Navi Mumbai,Navi Mumbai Rural,Gayatrivihar Phase-1
Akola,Akola Taluka-2,Kharadi Market
Wardha,Wardha Taluka-3,Rajanagar Industrial
Beed,Beed North,Kothrud
Latur,Latur Urban,Kurla Road 1
Nanded,Nanded Central,Greengaon Residential 5
Parbhani,Parbhani West,Pimple Saudagar Market
Raigad,Raigad West,Riverwadi West
Ratnagiri,Ratnagiri Central,Hillwadi Industrial
Sindhudurg,Sindhudurg West,Shivgaon West
Palghar,Palghar South,Riverwadi Central 17
Buldhana,Buldhana Taluka-2,Vijaygaon West
Nandurbar,Nandurbar Taluka-1,Ramgaon Central
Dhule,Dhule Urban,Gandhigaon Central 17
Jalna,Jalna Taluka-1,Lohegaon Society
Osmanabad,Osmanabad North,Koregaon Park Layout
Hingoli,Hingoli East,Lohegaon Nagar
Washim,Washim East,Juhu Market
Yavatmal,Yavatmal Taluka-3,Aundh Colony
Bhandara,Bhandara South,Akurdi
Gondia,Gondia Taluka-3,Gandhibasti North
Gadchiroli,Gadchiroli West,Camp Society
Chandrapur,Chandrapur Central,Viman Nagar Market
Bid,Bid Taluka-2,Vijaymandi Phase-1
Miraj,Miraj Taluka-2,Lower Parel Nagar
Ichalkaranji,Ichalkaranji Taluka-1,Santchowk East
Pandharpur,Pandharpur South,Pimple Saudagar Colony
Pune,Pune South,Andheri Market
Mumbai,Mumbai Taluka-3,Baner Market
Nagpur,Nagpur Taluka-2,Sus Bazar 9
Nashik,Nashik West,Nigdi Nagar
Aurangabad,Aurangabad Taluka-3,Newgaon South
Kolhapur,Kolhapur South,Khar Road
Solapur,Solapur South,Khar Colony 17
Sangli,Sangli Central,Santpura Industrial 9
Satara,Satara Taluka-1,Oldmarket South 3
Jalgaon,Jalgaon West,Udaywadi Central
Amravati,Amravati Central,Undri
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Dhayari Layout
Thane,Thane Taluka-3,Vasantmandi Central 20
Navi Mumbai,Navi Mumbai Taluka-1,Wakad Bazar 1
Akola,Akola Urban,Gandhivihar Residential
Wardha,Wardha Taluka-1,Lower Parel Road
Beed,Beed West,Bandra Market
Latur,Latur Taluka-1,Prakashchowk West
Nanded,Nanded Taluka-2,Sus Society
Parbhani,Parbhani Urban,Gayatrichowk Central
Raigad,Raigad Urban,Bandra Road
Ratnagiri,Ratnagiri Central,Greenbasti North
Sindhudurg,Sindhudurg Taluka-1,Bandra Colony
Palghar,Palghar North,Andheri
Buldhana,Buldhana East,Yerawada Nagar
Nandurbar,Nandurbar West,Lower Parel Colony
Dhule,Dhule Taluka-1,Hillgaon South 19
Jalna,Jalna Rural,Shivaji Nagar Market
Osmanabad,Osmanabad Taluka-3,Kothrud Road
Hingoli,Hingoli Taluka-2,Netajichowk South
Washim,Washim Taluka-3,Kasba Peth Colony 17
Yavatmal,Yavatmal South,Pashan Road
Bhandara,Bhandara Taluka-2,Kasba Peth Road
Gondia,Gondia Taluka-3,Katraj Market 17
Gadchiroli,Gadchiroli East,Saiwadi Residential
Chandrapur,Chandrapur Taluka-1,Akurdi Society 11
Bid,Bid Urban,Aundh Society
Miraj,Miraj Taluka-3,Pimple Saudagar
Ichalkaranji,Ichalkaranji Taluka-2,Andheri Nagar
Pandharpur,Pandharpur Taluka-3,Krishnachowk Industrial 9
Pune,Pune Taluka-2,Yerawada Nagar
Mumbai,Mumbai Rural,Narhe Society
Nagpur,Nagpur South,Gandhigalli Phase-2
Nashik,Nashik North,Oldbasti Industrial
Aurangabad,Aurangabad Urban,Rajalayout Phase-1
Kolhapur,Kolhapur West,Vijayvihar Central
Solapur,Solapur Taluka-1,Prakashbagh West
Sangli,Sangli Taluka-3,Dhayari Society
Satara,Satara North,Colaba Bazar
Jalgaon,Jalgaon North,Krishnapeth Extension 7
Amravati,Amravati West,Vijaylayout Industrial
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Netajipura North
Thane,Thane Taluka-1,Sagarlayout Extension
Navi Mumbai,Navi Mumbai Taluka-1,Pashan Bazar
Akola,Akola Urban,Katraj Colony
Wardha,Wardha East,Chembur Colony
Beed,Beed Rural,Lower Parel Nagar
Latur,Latur Urban,Ambegaon Colony
Nanded,Nanded Taluka-3,Vile Parle Bazar 10
Parbhani,Parbhani Taluka-1,Lakemandi South 18
Raigad,Raigad West,Shivaji Nagar Colony
Ratnagiri,Ratnagiri Central,Prakashlayout East
Sindhudurg,Sindhudurg West,Byculla Road 20
Palghar,Palghar Urban,Colaba Market 19
Buldhana,Buldhana South,Gardenchowk Extension
Nandurbar,Nandurbar West,Koregaon Park Nagar 17
Dhule,Dhule East,Netajiwadi East
Jalna,Jalna South,Chembur Layout
Osmanabad,Osmanabad West,Sagarnagar Extension 20
Hingoli,Hingoli Rural,Narhe Market
Washim,Washim Taluka-2,Oldcolony Residential
Yavatmal,Yavatmal South,Narhe
Bhandara,Bhandara West,Worli
Gondia,Gondia North,Lohegaon Nagar
Gadchiroli,Gadchiroli Taluka-2,Udaychowk South
Chandrapur,Chandrapur Rural,Newwadi East
Bid,Bid Taluka-2,Hinjawadi Colony 10
Miraj,Miraj West,Gardenpeth Residential
Ichalkaranji,Ichalkaranji Central,Wanowrie Layout
Pandharpur,Pandharpur Rural,Bandra
Pune,Pune Taluka-2,Aundh
Mumbai,Mumbai Rural,Sus Layout
Nagpur,Nagpur Taluka-2,Ghatkopar Nagar
Nashik,Nashik North,Prakashwadi East
Aurangabad,Aurangabad Central,Gandhicolony East
Kolhapur,Kolhapur Taluka-2,Dadar Society
Solapur,Solapur Urban,Byculla
Sangli,Sangli Urban,Kothrud Market
Satara,Satara Central,Gandhipur Central
Jalgaon,Jalgaon North,Hillbagh Industrial
Amravati,Amravati West,Krishnapeth Phase-1
Pimpri-Chinchwad,Pimpri-Chinchwad Rural,FC Road Society
Thane,Thane Central,Wanowrie Society
Navi Mumbai,Navi Mumbai Urban,Pimple Saudagar Layout
Akola,Akola East,Nigdi Market
Wardha,Wardha West,Kondhwa Bazar 6
Beed,Beed Central,Koregaon Park Layout
Latur,Latur East,Krishnalayout Phase-2
Nanded,Nanded West,Manjari Colony
Parbhani,Parbhani Urban,Vasantpur West
Raigad,Raigad Rural,Shreepur Industrial
Ratnagiri,Ratnagiri Central,Netajimarket Phase-2
Sindhudurg,Sindhudurg Taluka-3,Netajibasti Central
Palghar,Palghar Urban,Wagholi Bazar
Buldhana,Buldhana West,Sus Society 20
Nandurbar,Nandurbar West,Kharadi Society
Dhule,Dhule West,Dadar Nagar
Jalna,Jalna Central,Newvihar South
Osmanabad,Osmanabad East,Santlayout Extension
Hingoli,Hingoli East,Udaypura Extension
Washim,Washim Taluka-2,Kharadi Colony
Yavatmal,Yavatmal South,Prakashcolony Extension
Bhandara,Bhandara South,Gandhinagar Industrial
Gondia,Gondia Urban,Anandwadi Extension
Gadchiroli,Gadchiroli Central,Rajagaon Central
Chandrapur,Chandrapur East,Riverpura Extension 12
Bid,Bid Urban,Wagholi Road
Miraj,Miraj West,Aundh Colony
Ichalkaranji,Ichalkaranji Rural,Pashan Society
Pandharpur,Pandharpur Rural,Hinjawadi Nagar
Pune,Pune Taluka-3,Gayatribagh Extension
Mumbai,Mumbai West,Vile Parle 18
Nagpur,Nagpur South,Oldbasti Phase-1
Nashik,Nashik South,Bhosari Colony
Aurangabad,Aurangabad Taluka-3,Byculla Bazar
Kolhapur,Kolhapur Central,Bandra Layout 16
Solapur,Solapur North,Rivercolony East
Sangli,Sangli Urban,Magarpatta Nagar
Satara,Satara Central,Oldmandi Residential
Jalgaon,Jalgaon Taluka-1,Juhu Nagar
Amravati,Amravati Taluka-3,Kurla Bazar
Pimpri-Chinchwad,Pimpri-Chinchwad North,Akurdi Layout
Thane,Thane Taluka-1,Vasantbagh Phase-1 10
Navi Mumbai,Navi Mumbai East,Rajanagar Residential
Akola,Akola Taluka-2,Netajinagar Industrial
Wardha,Wardha North,Khar
Beed,Beed North,Kalyani Nagar Bazar
Latur,Latur East,Gardenpeth West
Nanded,Nanded West,Mulund Market
Parbhani,Parbhani Rural,Chinchwad
Raigad,Raigad Rural,Chinchwad
Ratnagiri,Ratnagiri Taluka-2,Newgalli Industrial
Sindhudurg,Sindhudurg Taluka-1,Magarpatta Layout
Palghar,Palghar South,Katraj Market
Buldhana,Buldhana Taluka-2,Aundh Society 17
Nandurbar,Nandurbar East,Chinchwad Road
Dhule,Dhule Urban,Vasantwadi South
Jalna,Jalna Taluka-1,Saichowk West
Osmanabad,Osmanabad Taluka-3,Katraj Colony
Hingoli,Hingoli East,Magarpatta Bazar
Washim,Washim Taluka-3,Fursungi Nagar
Yavatmal,Yavatmal Taluka-3,Pashan Society
Bhandara,Bhandara North,Manjari Nagar
Gondia,Gondia Central,Kasba Peth Market
Gadchiroli,Gadchiroli Urban,Undri Nagar
Chandrapur,Chandrapur Taluka-1,Pashan Layout
Bid,Bid Urban,Magarpatta Bazar
Miraj,Miraj Taluka-3,Andheri Colony
Ichalkaranji,Ichalkaranji Rural,Ambegaon Layout
Pandharpur,Pandharpur Taluka-2,Gayatrimandi Residential
Pune,Pune Urban,Gayatricolony East
Mumbai,Mumbai Taluka-3,Greencolony Extension
Nagpur,Nagpur South,Pimpri Layout
Nashik,Nashik Rural,Juhu Road
Aurangabad,Aurangabad North,Shivaji Nagar Layout
Kolhapur,Kolhapur South,Pimpri Society
Solapur,Solapur Central,Kurla Society
Sangli,Sangli West,Shivaji Nagar Road
Satara,Satara North,Byculla Nagar
Jalgaon,Jalgaon Central,Shreegalli Central 3
Amravati,Amravati Central,Koregaon Park Bazar
Pimpri-Chinchwad,Pimpri-Chinchwad North,Shantivihar West
Thane,Thane East,Fursungi Nagar
Navi Mumbai,Navi Mumbai East,Viman Nagar Colony 20
Akola,Akola Taluka-2,Rajapura Industrial
Wardha,Wardha North,Rajagaon West
Beed,Beed North,Chinchwad Layout 6
Latur,Latur East,Mulund Road 10
Nanded,Nanded West,Lower Parel Nagar
Parbhani,Parbhani Taluka-2,Wagholi Road
Raigad,Raigad Rural,Aundh Colony
Ratnagiri,Ratnagiri Taluka-1,Shreegalli East
Sindhudurg,Sindhudurg South,Prakashwadi Central 13
Palghar,Palghar North,Narhe Society
Buldhana,Buldhana West,Sagargaon West
Nandurbar,Nandurbar West,Ramcolony North
Dhule,Dhule South,Worli Road
Jalna,Jalna Taluka-1,Greenmandi Phase-2 13
Osmanabad,Osmanabad East,Rajgaon West
Hingoli,Hingoli Taluka-2,Ganeshgalli Industrial
Washim,Washim Taluka-2,Kothrud
Yavatmal,Yavatmal South,Ramnagar West
Bhandara,Bhandara Taluka-2,Newmandi Central
Gondia,Gondia Taluka-1,Shantimarket Phase-2
Gadchiroli,Gadchiroli North,FC Road Market
Chandrapur,Chandrapur Taluka-2,Magarpatta
Bid,Bid Taluka-2,Gandhinagar Phase-1
Miraj,Miraj Taluka-2,Chinchwad Road
Ichalkaranji,Ichalkaranji Rural,Narhe Society
Pandharpur,Pandharpur Taluka-3,FC Road Nagar
Pune,Pune Taluka-3,Riverlayout Phase-1
Mumbai,Mumbai Taluka-3,Wanowrie Bazar
Nagpur,Nagpur South,Camp Market
Nashik,Nashik North,Dhayari Road
Aurangabad,Aurangabad South,Wakad Market
Kolhapur,Kolhapur West,Byculla Road
Solapur,Solapur Taluka-1,Pimpri Market
Sangli,Sangli Taluka-3,Rajawadi East
Satara,Satara West,Viman Nagar Nagar 16
Jalgaon,Jalgaon Urban,Ghatkopar Society
Amravati,Amravati Taluka-2,Andheri Market
Pimpri-Chinchwad,Pimpri-Chinchwad East,Manjari Bazar
Thane,Thane Taluka-1,Netajipura South
Navi Mumbai,Navi Mumbai Central,Hadapsar Market
Akola,Akola Taluka-2,Pashan Road
Wardha,Wardha North,Ramnagar Extension
Beed,Beed Central,Pashan Colony
Latur,Latur Taluka-2,Akurdi Market
Nanded,Nanded Central,Wanowrie Layout
Parbhani,Parbhani West,Vasantpur North
Raigad,Raigad North,Shivpeth Central
Ratnagiri,Ratnagiri Taluka-2,Kalyani Nagar Colony
Sindhudurg,Sindhudurg Taluka-3,Lower Parel Bazar
Palghar,Palghar South,Khar Bazar 7
Buldhana,Buldhana Urban,Chembur Road
Nandurbar,Nandurbar West,FC Road Colony
Dhule,Dhule Urban,Vasantbasti West
Jalna,Jalna South,Rajgalli Central
Osmanabad,Osmanabad Central,Undri Society
Hingoli,Hingoli Taluka-3,Worli Colony
Washim,Washim Taluka-2,Shreewadi North
Yavatmal,Yavatmal Rural,Undri Layout
Bhandara,Bhandara Taluka-3,Gandhinagar Industrial
Gondia,Gondia North,Oldpur Phase-1
Gadchiroli,Gadchiroli West,Santgalli South
Chandrapur,Chandrapur Rural,Hillcolony Industrial
Bid,Bid Taluka-2,Kharadi Road
Miraj,Miraj Taluka-2,Yerawada Society
Ichalkaranji,Ichalkaranji Taluka-2,Kurla Society
Pandharpur,Pandharpur Taluka-2,Magarpatta Market
Pune,Pune Central,Lakegaon South
Mumbai,Mumbai Urban,Vijaynagar Industrial
Nagpur,Nagpur South,Prakashbasti Residential
Nashik,Nashik South,Rammandi North
Aurangabad,Aurangabad Urban,Katraj Layout
Kolhapur,Kolhapur Rural,Kasba Peth Colony
Solapur,Solapur Central,Dhayari Layout
Sangli,Sangli Central,Viman Nagar Market
Satara,Satara West,Gandhigaon Industrial
Jalgaon,Jalgaon Urban,Khar Layout
Amravati,Amravati West,Lakechowk North
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Kondhwa Colony
Thane,Thane Taluka-3,Viman Nagar Nagar
Navi Mumbai,Navi Mumbai East,Newmandi North
Akola,Akola Urban,Wanowrie Nagar
Wardha,Wardha Taluka-3,Vile Parle Layout
Beed,Beed Central,Kharadi Nagar
Latur,Latur East,Lower Parel Road
Nanded,Nanded West,Chinchwad Road
Parbhani,Parbhani Taluka-3,Netajivihar Phase-1
Raigad,Raigad West,Wagholi Layout
Ratnagiri,Ratnagiri Central,Ganeshbasti Central
Sindhudurg,Sindhudurg South,Rivergaon Extension
Palghar,Palghar Taluka-1,Pashan
Buldhana,Buldhana East,Pimpri Bazar
Nandurbar,Nandurbar East,Byculla Layout
Dhule,Dhule Rural,Kurla Bazar
Jalna,Jalna Central,Aundh
Osmanabad,Osmanabad East,Sagarbagh Residential
Hingoli,Hingoli Taluka-2,Krishnacolony Central
Washim,Washim East,Shantimandi South
Yavatmal,Yavatmal Taluka-3,Bhosari Colony
Bhandara,Bhandara South,Saivihar Central
Gondia,Gondia North,Katraj Colony
Gadchiroli,Gadchiroli West,Shivpur Phase-2
Chandrapur,Chandrapur Central,Ganeshpura Central
Bid,Bid Urban,Udaycolony Phase-2
Miraj,Miraj North,Rajabasti Residential
Ichalkaranji,Ichalkaranji South,Bhosari Road
Pandharpur,Pandharpur South,Pimpri
Pune,Pune Rural,Sagarpura Industrial
Mumbai,Mumbai Urban,Narhe Nagar 10
Nagpur,Nagpur Taluka-1,Baner Nagar
Nashik,Nashik West,Santbagh Phase-2
Aurangabad,Aurangabad Taluka-3,Worli Society
Kolhapur,Kolhapur Taluka-2,Ramvihar Extension
Solapur,Solapur Central,Borivali Nagar
Sangli,Sangli Central,Chinchwad Colony
